accession	coverage	fasta	taxonomy
AY319521.1	1.3441	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2882104102_000002.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_85_of_Caudoviricetes;f__novel_family_0_of_novel_order_85_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_85_of_Caudoviricetes||novel_family_198_of_novel_order_237_of_Caudoviricetes;s__IMGVR_UViG_2882104102_000002
BK010471.1	1.59223	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300003747_000018.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_211_of_Caudoviricetes;f__novel_family_72_of_novel_order_211_of_Caudoviricetes;g__novel_genus_40_of_novel_subfamily_0_of_novel_family_72_of_novel_order_211_of_Caudoviricetes||novel_family_26_of_novel_order_217_of_Caudoviricetes;s__IMGVR_UViG_3300003747_000018
CAJCJZ010000002.1	1.59149	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_646311937_000002.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_237_of_Caudoviricetes;f__novel_family_99_of_novel_order_237_of_Caudoviricetes;g__novel_genus_83_of_novel_subfamily_0_of_novel_family_99_of_novel_order_237_of_Caudoviricetes||novel_family_81_of_novel_order_237_of_Caudoviricetes;s__IMGVR_UViG_646311937_000002
CP014526.1	1.863	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_162817.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_188_of_Caudoviricetes;f__novel_family_0_of_novel_order_188_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_188_of_Caudoviricetes;s__IMGVR_UViG_3300045988_162817
CP023686.1	3.1802	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300029803_000007.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_247_of_Caudoviricetes;f__novel_family_70_of_novel_order_247_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_1_of_novel_family_70_of_novel_order_247_of_Caudoviricetes;s__IMGVR_UViG_3300029803_000007
CP038625.1	1.34721	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300008346_000132.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_89_of_Caudoviricetes;f__novel_family_81_of_novel_order_89_of_Caudoviricetes;g__novel_genus_4_of_novel_subfamily_0_of_novel_family_81_of_novel_order_89_of_Caudoviricetes||novel_family_80_of_novel_order_89_of_Caudoviricetes;s__IMGVR_UViG_3300008346_000132
CP052639.1	1.33767	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300047380_000126.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_256_of_Caudoviricetes;f__novel_family_46_of_novel_order_256_of_Caudoviricetes;g__novel_genus_1_of_novel_subfamily_0_of_novel_family_40_of_novel_order_256_of_Caudoviricetes||novel_family_46_of_novel_order_256_of_Caudoviricetes;s__IMGVR_UViG_3300047380_000126
IMGVR_UViG_2029527004_000018	2.16979	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300011625_000001.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_226_of_Caudoviricetes;f__novel_family_19_of_novel_order_226_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_0_of_novel_family_12_of_novel_order_226_of_Caudoviricetes||novel_family_19_of_novel_order_226_of_Caudoviricetes;s__IMGVR_UViG_3300011625_000001
IMGVR_UViG_2029527005_000024	3.54424	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2909166876_000002.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_79_of_Caudoviricetes;f__novel_family_37_of_novel_order_79_of_Caudoviricetes;g__novel_genus_14_of_novel_subfamily_0_of_novel_family_37_of_novel_order_79_of_Caudoviricetes||novel_family_48_of_novel_order_79_of_Caudoviricetes;s__IMGVR_UViG_2909166876_000002
IMGVR_UViG_2029527005_000025	1.33901	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2728369351_000004.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_237_of_Caudoviricetes;f__novel_family_99_of_novel_order_237_of_Caudoviricetes;g__novel_genus_25_of_novel_subfamily_0_of_novel_family_99_of_novel_order_237_of_Caudoviricetes||novel_family_81_of_novel_order_237_of_Caudoviricetes;s__IMGVR_UViG_2728369351_000004
